Source;Target;Weight;Type
83;16;2;undirected
83;78;1;undirected
48;128;2;undirected
49;89;2;undirected
49;87;1;undirected
49;12;2;undirected
49;43;3;undirected
46;140;1;undirected
46;27;2;undirected
46;21;2;undirected
46;126;2;undirected
46;66;1;undirected
42;63;1;undirected
42;68;1;undirected
43;233;1;undirected
43;89;2;undirected
43;87;1;undirected
43;12;2;undirected
43;116;1;undirected
43;49;3;undirected
40;273;3;undirected
40;275;2;undirected
40;22;1;undirected
40;88;1;undirected
40;266;6;undirected
5;283;1;undirected
5;307;1;undirected
